d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7310325258,huntsville / decatur,9495,2008,toyota,rav4,excellent,4 cylinders,gas,144657,clean,automatic,JTMZD33V285103570,fwd,mid-size,SUV,green,al
7310321686,huntsville / decatur,12995,2008,ford,f150 xl,,,gas,93146,clean,automatic,1FTRF12V98KD94523,,,,green,al
7310320706,huntsville / decatur,36995,2012,ford,f250 super duty 4x4,,,gas,41364,clean,automatic,1FD7X2B65CEC58024,4wd,,,silver,al
7310319991,huntsville / decatur,31995,2017,ford,f350 super duty,,,gas,129634,clean,automatic,1FD8W3G69HEB28454,,,,white,al
7310319789,huntsville / decatur,25995,2015,gmc,sierra 2500hd,,,gas,126690,clean,automatic,1GT21XEG0FZ537816,,,,red,al
7310318860,huntsville / decatur,34995,2015,ford,f250 super duty 4x4,,,gas,84526,clean,automatic,1FD7X2B60FEB07855,4wd,,,white,al
7310318283,huntsville / decatur,31995,2012,ford,f350 super duty,,,gas,24692,clean,automatic,1FDRF3G64CED01178,,,,white,al
7310317984,huntsville / decatur,34995,2017,ford,f250 sd xlt,,,gas,138052,clean,automatic,1FT7W2B61HEE45601,4wd,,,white,al
7310317486,huntsville / decatur,16995,2008,chevrolet,express 3500,,,gas,158114,clean,automatic,1GBJG31K281131930,,,,white,al
7310317158,huntsville / decatur,12995,2016,chrysler,200,,,gas,72754,clean,automatic,1C3CCCBBXGN146315,,,,black,al
7310316945,huntsville / decatur,27995,2017,nissan,nv2500 hd cargo,,,gas,48769,clean,automatic,1N6BF0KY6HN800985,,,,white,al
7310316762,huntsville / decatur,24995,2012,ford,f250 xl super duty,,,gas,52377,clean,automatic,1FDBF2A68CEC73003,,,,grey,al
7310316603,huntsville / decatur,28995,2012,ford,econoline commercial,,,gas,93923,clean,automatic,1FC3E3KL4CDB34837,,,,white,al
7310316383,huntsville / decatur,27995,2012,ford,f350 super duty,,,gas,45822,clean,automatic,1FDRF3G65CEC39189,,,,white,al
7310316217,huntsville / decatur,13995,2015,nissan,nv200,,,gas,86580,clean,automatic,3N6CM0KN6FK712103,,,,white,al
7310315990,huntsville / decatur,32995,2012,ford,f250 super duty,,,gas,37473,clean,automatic,1FDBF2B63CEC57788,4wd,,,white,al
7310315799,huntsville / decatur,4995,2005,ford,freestar ses,,,gas,121724,clean,automatic,2FMZA57605BA66741,,,,silver,al
7310315248,huntsville / decatur,9995,2011,nissan,rogue sv,excellent,4 cylinders,gas,92496,clean,automatic,JN8AS5MT6BW161943,fwd,mid-size,SUV,white,al
7310308311,huntsville / decatur,32990,2018,acura,mdx sh-awd w/technology,good,6 cylinders,gas,31967,clean,other,5J8YD4H59JL010087,,,other,brown,al
